id,name,disposition,period,duration,depth,prad,teq
311130133,TOI-4318.01,1,1.1343824,1.4445,313.8458861,1.7532446,1578.3530385
157115010,TOI-4319.01,1,,7.7272055,6743.4455261,6.5519689,379.3574727
38686737,TOI-432.01,0,2.24704,2.713,18890.4,18.1799,1812.0
404518509,TOI-4320.01,1,25.1290153,4.271,465.0,1.93226,627.0
404518509,TOI-4320.02,1,46.4093732,4.822337,435.7347505,2.1862997,519.1966657
325081244,TOI-4321.01,1,,5.7408858,177.9248977,3.3520677,1162.1198678
13883872,TOI-4322.01,1,13.4190972,5.209244,348.2384065,2.4168515,850.6234364
143022742,TOI-4323.01,1,14.6762658,3.2320455,3499.9379734,2.8523348,339.5049488
143022742,TOI-4323.02,1,21.9692578,3.5662307,7940.6152389,4.1061739,296.7878863
408416746,TOI-4324.01,1,6.2509468,1.1882969,770.1195597,1.1306823,438.8091174
202185707,TOI-4325.01,1,1.6500673,0.9198679,2709.5349576,2.3990078,712.1282782
303586471,TOI-4326.01,1,1826.0790324,4.1474226,587.1608288,2.7599003,408.0376856
140687214,TOI-4327.01,1,0.8303285,0.665,680.0,3.44971,1428.0
77175217,TOI-4328.01,1,703.79367,2.9297301,601.9566843,1.860295,189.7945133
256722647,TOI-4329.01,1,2.9224661,5.5560255,5724.017673,20.8842189,2027.1156538
188989177,TOI-433.01,0,1.17409,1.701,3680.0,49.6799,3798.0
47617038,TOI-4330.01,0,3.3513304,2.739,400.0,17.7728,1155.0
148833828,TOI-4331.01,1,2.9034242,2.154,860.0,6.62177,1351.0
178959058,TOI-4332.01,0,5.4468377,3.303,842.0,4.39864,1396.0
144645881,TOI-4333.01,1,8.9021443,1.7633959,1427.9681446,9.954598,1260.8869541
128531633,TOI-4334.01,1,8.2197647,1.673,1040.0,7.65998,806.0
443658196,TOI-4335.01,0,4.5006638,4.588,2110.0,14.2378,3520.0
166184428,TOI-4336.01,1,16.3363665,1.9933922,3884.6785375,2.0492403,290.9398052
399642071,TOI-4337.01,0,2.2887763,4.8634851,1890.6463423,2.8057654,805.0445873
253434221,TOI-4338.01,1,7.4997158,2.0504305,3023.5215223,13.7499035,1191.0623003
7439481,TOI-4339.01,0,1.2540806,1.3435517,66025.099426,10.3493319,746.8996014
78055054,TOI-434.01,1,4.3888516,3.0184015,24964.547823,13.8994523,949.6785627
454038613,TOI-4340.01,1,2.6680587,2.978,580.0,3.45609,1771.0
62301521,TOI-4341.01,1,18.4043334,7.879331,9135.2110162,1.2834433,182.7961243
354944123,TOI-4342.01,1,5.538329,2.2263888,1407.1118648,2.2721409,585.0169701
354944123,TOI-4342.02,1,10.6886084,2.6672245,1501.1726341,2.4642245,469.8807571
278988097,TOI-4343.01,1,11.5418525,2.9492981,415.9874628,1.8822681,791.2917217
38939275,TOI-4344.01,1,731.4808779,14.7095051,244.9088772,3.2537107,290.8264482
469791892,TOI-4345.01,1,12.8910022,4.0905287,15119.3900089,2.3547529,2005.9611934
389371332,TOI-4346.01,0,3.9077116,9.5278364,599.6319099,1.5722799,679.4921442
32498058,TOI-4347.01,1,35.3573239,6.8669784,617.495317,4.0299536,831.4184898
350299588,TOI-4348.01,1,602.2450921,9.0912461,220.3440139,2.8742544,304.6652609
313889049,TOI-4349.01,1,749.1605231,4.9894211,1750.9801691,2.343896,109.0750517
44647437,TOI-435.01,1,3.352907,2.3906731,4205.1961016,5.2933196,753.6642219
